Date,Ticker
30/12/2016,EWZ6
04/01/2017,E1CF7
06/01/2017,EW1F7
09/01/2017,E2AF7
11/01/2017,E2CF7
13/01/2017,EW2F7
18/01/2017,E3CF7
20/01/2017,EW3F7
23/01/2017,E4AF7
25/01/2017,E4CF7
27/01/2017,EW4F7
30/01/2017,E5AF7
31/01/2017,EWF7
01/02/2017,E1CG7
03/02/2017,EW1G7
06/02/2017,E2AG7
08/02/2017,E2CG7
10/02/2017,EW2G7
13/02/2017,E3AG7
15/02/2017,E3CG7
17/02/2017,EW3G7
22/02/2017,E4CG7
24/02/2017,EW4G7
27/02/2017,E5AG7
28/02/2017,EWG7
01/03/2017,E1CH7
03/03/2017,EW1H7
06/03/2017,E2AH7
08/03/2017,E2CH7
10/03/2017,EW2H7
13/03/2017,E3AH7
15/03/2017,E3CH7
17/03/2017,ESH7
20/03/2017,E4AH7
22/03/2017,E4CH7
24/03/2017,EW4H7
27/03/2017,E5AH7
29/03/2017,E5CH7
31/03/2017,EWH7
03/04/2017,E1AJ7
05/04/2017,E1CJ7
07/04/2017,EW1J7
10/04/2017,E2AJ7
12/04/2017,E2CJ7
17/04/2017,E3AJ7
19/04/2017,E3CJ7
21/04/2017,EW3J7
24/04/2017,E4AJ7
26/04/2017,E4CJ7
28/04/2017,EWJ7
01/05/2017,E1AK7
03/05/2017,E1CK7
05/05/2017,EW1K7
08/05/2017,E2AK7
10/05/2017,E2CK7
12/05/2017,EW2K7
15/05/2017,E3AK7
17/05/2017,E3CK7
19/05/2017,EW3K7
22/05/2017,E4AK7
24/05/2017,E4CK7
26/05/2017,EW4K7
31/05/2017,EWK7
02/06/2017,EW1M7
05/06/2017,E2AM7
07/06/2017,E2CM7
09/06/2017,EW2M7
12/06/2017,E3AM7
14/06/2017,E3CM7
16/06/2017,ESM7
19/06/2017,E4AM7
21/06/2017,E4CM7
23/06/2017,EW4M7
26/06/2017,E5AM7
28/06/2017,E5CM7
30/06/2017,EWM7
03/07/2017,E1AN7
05/07/2017,E1CN7
07/07/2017,EW1N7
10/07/2017,E2AN7
12/07/2017,E2CN7
14/07/2017,EW2N7
17/07/2017,E3AN7
19/07/2017,E3CN7
21/07/2017,EW3N7
24/07/2017,E4AN7
26/07/2017,E4CN7
28/07/2017,EW4N7
31/07/2017,EWN7
02/08/2017,E1CQ7
04/08/2017,EW1Q7
07/08/2017,E2AQ7
09/08/2017,E2CQ7
11/08/2017,EW2Q7
14/08/2017,E3AQ7
16/08/2017,E3CQ7
18/08/2017,EW3Q7
21/08/2017,E4AQ7
23/08/2017,E4CQ7
25/08/2017,EW4Q7
28/08/2017,E5AQ7
30/08/2017,E5CQ7
31/08/2017,EWQ7
01/09/2017,EW1U7
06/09/2017,E2CU7
08/09/2017,EW2U7
11/09/2017,E3AU7
13/09/2017,E3CU7
15/09/2017,ESU7
18/09/2017,E4AU7
20/09/2017,E4CU7
22/09/2017,EW4U7
25/09/2017,E5AU7
27/09/2017,E5CU7
29/09/2017,EWU7
02/10/2017,E1AV7
04/10/2017,E1CV7
06/10/2017,EW1V7
09/10/2017,E2AV7
11/10/2017,E2CV7
13/10/2017,EW2V7
16/10/2017,E3AV7
18/10/2017,E3CV7
20/10/2017,EW3V7
23/10/2017,E4AV7
25/10/2017,E4CV7
27/10/2017,EW4V7
30/10/2017,E5AV7
31/10/2017,EWV7
01/11/2017,E1CX7
03/11/2017,EW1X7
06/11/2017,E2AX7
08/11/2017,E2CX7
10/11/2017,EW2X7
13/11/2017,E3AX7
15/11/2017,E3CX7
17/11/2017,EW3X7
20/11/2017,E4AX7
22/11/2017,E4CX7
24/11/2017,EW4X7
27/11/2017,E5AX7
29/11/2017,E5CX7
30/11/2017,EWX7
01/12/2017,EW1Z7
04/12/2017,E2AZ7
06/12/2017,E2CZ7
08/12/2017,EW2Z7
11/12/2017,E3AZ7
13/12/2017,E3CZ7
15/12/2017,ESZ7
18/12/2017,E4AZ7
20/12/2017,E4CZ7
22/12/2017,EW4Z7
27/12/2017,E5CZ7
29/12/2017,EWZ7
03/01/2018,E1CF8
05/01/2018,EW1F8
08/01/2018,E2AF8
10/01/2018,E2CF8
12/01/2018,EW2F8
17/01/2018,E3CF8
19/01/2018,EW3F8
22/01/2018,E4AF8
24/01/2018,E4CF8
26/01/2018,EW4F8
29/01/2018,E5AF8
31/01/2018,EWF8
02/02/2018,EW1G8
05/02/2018,E2AG8
07/02/2018,E2CG8
09/02/2018,EW2G8
12/02/2018,E3AG8
14/02/2018,E3CG8
16/02/2018,EW3G8
21/02/2018,E4CG8
23/02/2018,EW4G8
26/02/2018,E5AG8
28/02/2018,EWG8
02/03/2018,EW1H8
05/03/2018,E2AH8
07/03/2018,E2CH8
09/03/2018,EW2H8
12/03/2018,E3AH8
14/03/2018,E3CH8
16/03/2018,ESH8
19/03/2018,E4AH8
21/03/2018,E4CH8
23/03/2018,EW4H8
26/03/2018,E5AH8
28/03/2018,E5CH8
29/03/2018,EWH8
02/04/2018,E1AJ8
04/04/2018,E1CJ8
06/04/2018,EW1J8
09/04/2018,E2AJ8
11/04/2018,E2CJ8
13/04/2018,EW2J8
16/04/2018,E3AJ8
18/04/2018,E3CJ8
20/04/2018,EW3J8
23/04/2018,E4AJ8
25/04/2018,E4CJ8
27/04/2018,EW4J8
30/04/2018,EWJ8
02/05/2018,E1CK8
04/05/2018,EW1K8
07/05/2018,E2AK8
09/05/2018,E2CK8
